ticker,date,open,high,low,close,volume,sector
ADANIENT,2024-06-03 05:30:00,3725.0,3743.9,3586.05,3645.25,8511359,Materials
ADANIPORTS,2024-06-03 05:30:00,1549.0,1621.4,1535.0,1583.95,23398347,Services
APOLLOHOSP,2024-06-03 05:30:00,5986.3,6018.15,5812.55,5851.2,804820,Healthcare
ASIANPAINT,2024-06-03 05:30:00,2950.0,2950.0,2860.05,2866.45,952701,Consumer Goods
AXISBANK,2024-06-03 05:30:00,1197.05,1242.2,1193.4,1223.9,22197339,Financial Services
BAJAJ-AUTO,2024-06-03 05:30:00,9180.0,9444.0,9122.55,9335.45,438422,Automobile
BAJAJFINSV,2024-06-03 05:30:00,1580.0,1583.0,1556.45,1575.8,1826290,Financial Services
BAJFINANCE,2024-06-03 05:30:00,6948.85,6988.7,6832.95,6915.55,1148212,Financial Services
BEL,2024-06-03 05:30:00,323.0,323.0,309.3,318.65,67256146,Services
BHARTIARTL,2024-06-03 05:30:00,1415.3,1420.45,1385.0,1391.1,6017122,Telecommunications
BPCL,2024-06-03 05:30:00,332.5,343.5,325.85,333.08,33828234,Energy
BRITANNIA,2024-06-03 05:30:00,5300.0,5300.0,5160.0,5167.8,199328,Consumer Goods
CIPLA,2024-06-03 05:30:00,1482.0,1483.0,1446.05,1452.35,1335614,Healthcare
COALINDIA,2024-06-03 05:30:00,515.0,527.4,505.55,512.35,24416215,Energy
DRREDDY,2024-06-03 05:30:00,1187.58,1187.58,1155.43,1156.66,2087555,Healthcare
EICHERMOT,2024-06-03 05:30:00,4800.0,4800.0,4640.0,4670.85,1070710,Automobile
GRASIM,2024-06-03 05:30:00,2400.0,2405.2,2362.3,2368.8,807692,Materials
HCLTECH,2024-06-03 05:30:00,1350.55,1354.75,1309.85,1314.45,5384064,Information Technology
HDFCBANK,2024-06-03 05:30:00,1599.0,1599.0,1550.0,1572.2,36318628,Financial Services
HDFCLIFE,2024-06-03 05:30:00,568.95,569.25,547.05,550.1,9263670,Financial Services
HEROMOTOCO,2024-06-03 05:30:00,5280.0,5314.0,5154.6,5160.6,962485,Automobile
